f_Hz,H_mag,H_phase_deg,coherence
377.287,0.629039,-3.61568,0.999993
471.609,0.637942,-5.55088,0.999994
565.931,0.64657,-7.93775,0.999996
660.253,0.652639,-9.49064,0.999997
754.575,0.665431,-12.3741,0.999996
848.896,0.660897,-14.9853,0.999997
943.218,0.696328,-16.4774,0.999998
1037.54,0.684957,-19.7815,0.999998
1131.86,0.694829,-23.3223,0.999998
1226.18,0.684696,-24.6616,0.999998
1320.51,0.658842,-28.6139,0.999998
1414.83,0.666288,-31.003,0.999998
1509.15,0.648722,-36.3465,0.999998
1697.79,0.623325,-39.655,0.999998
1792.11,0.599832,-41.4766,0.999998
1980.76,0.58361,-46.0301,0.999998
2169.4,0.544904,-51.5842,0.999998
2358.05,0.516926,-54.4585,0.999998
2546.69,0.499536,-57.2544,0.999997
2735.33,0.457209,-61.7293,0.999997
3018.3,0.432493,-62.6294,0.999998
3301.26,0.402602,-66.4912,0.999998
3584.23,0.362493,-72.1777,0.999997
3867.19,0.343276,-74.8348,0.999998
4244.48,0.298399,-74.8335,0.999998
4621.77,0.291248,-77.3132,0.999998
4999.06,0.265653,-77.8118,0.999998
5470.67,0.246387,-83.2788,0.999997
5942.28,0.224223,-81.675,0.999997
6413.88,0.216131,-84.3243,0.999996
6979.82,0.187146,-86.8257,0.999996
7640.07,0.183297,-89.1146,0.999995
8300.32,0.160451,-87.1159,0.999995
8960.57,0.15078,-95.5085,0.999995
9809.47,0.141067,-94.2798,0.999995
10658.4,0.127448,-94.1629,0.999994
11601.6,0.117106,-95.5524,0.999993
12544.8,0.104912,-96.3797,0.999992
13676.7,0.104467,-100.412,0.999995
14902.8,0.0872447,-105.002,0.99999
16223.4,0.0882683,-105.306,0.999991
17638.2,0.0797465,-108.42,0.99999
19147.3,0.0717385,-111.535,0.999985
20845.1,0.0669858,-109.748,0.999986
22637.2,0.0606352,-113.063,0.999984
24618,0.0560783,-115.965,0.999988
26787.4,0.0519391,-118.694,0.99997
29145.4,0.045897,-126.25,0.999972
31692.1,0.0436178,-125.48,0.999977
34521.8,0.0431673,-135.337,0.999975
37540.1,0.0365248,-136.3,0.999964
40841.4,0.0335202,-144.691,0.999968
44425.6,0.029881,-148.838,0.999931
48292.8,0.0250957,-154.197,0.999928
52537.3,0.0249359,-153.13,0.999892
57159,0.0226307,-161.93,0.999906
62158.1,0.0200539,-176.639,0.999902
67628.7,0.0186869,-178.146,0.999879
73571,0.0149508,167.954,0.999757
79984.9,0.0134179,170.135,0.999794
