# PARX2 V2: rescaled to the measured 90-degree point of EO2: peak 5200.000 V -> 5137.4 V (x 0.987962), 2026-09-02
# same data as target_PARX2_V90.csv (2026-09-01, tools/make_v90_targets.py); this file is that rescale under the V2 name
# V90 at the monitor 5137.4 V = 8.672 V commanded (measured command->HV gain 0.5924); EO zero at -8.7 V, NOT applied -- the record still starts/ends at 0 V; rise/fall hysteresis 0.047 %
# source target_PARX2.csv, 5501 pts at 2.0000 us, header of the source follows
#   target for EO2 from forward.csv + 1000 us hold + reverse.csv, 1.25 us -> 2 us linear
#   integrated ramp target (EOs in parallel): peak 5200 V at the EOM, 5501 pts at 2 us = 11.0020 ms period
#   first/last sample 0.000000/0.000000 V; peak slew 4.109 V/us at the EOM
#   identical samples on both channels; the per-channel drive is what differs
time_us,voltage_V
0.000000,0.000000
2.000000,0.000000
4.000000,0.000000
6.000000,0.000000
8.000000,0.000000
10.000000,0.000000
12.000000,0.000001
14.000000,0.000002
16.000000,0.000004
18.000000,0.000007
20.000000,0.000013
22.000000,0.000020
24.000000,0.000030
26.000000,0.000044
28.000000,0.000064
30.000000,0.000091
32.000000,0.000126
34.000000,0.000170
36.000000,0.000226
38.000000,0.000297
40.000000,0.000383
42.000000,0.000491
44.000000,0.000618
46.000000,0.000773
48.000000,0.000956
50.000000,0.001170
52.000000,0.001425
54.000000,0.001720
56.000000,0.002063
58.000000,0.002459
60.000000,0.002911
62.000000,0.003431
64.000000,0.004020
66.000000,0.004688
68.000000,0.005444
70.000000,0.006286
72.000000,0.007243
74.000000,0.008303
76.000000,0.009485
78.000000,0.010801
80.000000,0.012250
82.000000,0.013866
84.000000,0.015636
86.000000,0.017586
88.000000,0.019729
90.000000,0.022060
92.000000,0.024631
94.000000,0.027418
96.000000,0.030457
98.000000,0.033765
100.000000,0.037333
102.000000,0.041227
104.000000,0.045418
106.000000,0.049946
108.000000,0.054837
110.000000,0.060076
112.000000,0.065748
114.000000,0.071811
116.000000,0.078321
118.000000,0.085302
120.000000,0.092738
122.000000,0.100735
124.000000,0.109236
126.000000,0.118310
128.000000,0.127987
130.000000,0.138244
132.000000,0.149213
134.000000,0.160819
136.000000,0.173148
138.000000,0.186232
140.000000,0.200041
142.000000,0.214737
144.000000,0.230227
146.000000,0.246608
148.000000,0.263923
150.000000,0.282131
152.000000,0.301426
154.000000,0.321691
156.000000,0.343047
158.000000,0.365537
160.000000,0.389113
162.000000,0.414003
164.000000,0.440065
166.000000,0.467440
168.000000,0.496179
170.000000,0.526219
172.000000,0.557832
174.000000,0.590844
176.000000,0.625420
178.000000,0.661616
180.000000,0.699355
182.000000,0.738957
184.000000,0.780211
186.000000,0.823309
188.000000,0.868313
190.000000,0.915131
192.000000,0.964133
194.000000,1.015067
196.000000,1.068157
198.000000,1.123471
200.000000,1.180896
202.000000,1.240860
204.000000,1.303069
206.000000,1.367774
208.000000,1.435054
210.000000,1.504773
212.000000,1.577422
214.000000,1.652654
216.000000,1.730759
218.000000,1.811822
220.000000,1.895683
222.000000,1.982900
224.000000,2.073076
226.000000,2.166534
228.000000,2.263368
230.000000,2.363392
232.000000,2.467236
234.000000,2.574445
236.000000,2.685382
238.000000,2.800148
240.000000,2.918527
242.000000,3.041233
244.000000,3.167742
246.000000,3.298461
248.000000,3.433497
250.000000,3.572609
252.000000,3.716591
254.000000,3.864846
256.000000,4.017834
258.000000,4.175670
260.000000,4.338072
262.000000,4.505930
264.000000,4.678571
266.000000,4.856504
268.000000,5.039850
270.000000,5.228293
272.000000,5.422820
274.000000,5.622677
276.000000,5.828422
278.000000,6.040187
280.000000,6.257618
282.000000,6.481801
284.000000,6.711898
286.000000,6.948521
288.000000,7.191813
290.000000,7.441375
292.000000,7.698403
294.000000,7.961965
296.000000,8.232735
298.000000,8.510861
300.000000,8.795900
302.000000,9.089165
304.000000,9.389623
306.000000,9.698011
308.000000,10.014485
310.000000,10.338554
312.000000,10.671655
314.000000,11.012647
316.000000,11.362332
318.000000,11.720877
320.000000,12.087739
322.000000,12.464484
324.000000,12.849857
326.000000,13.244731
328.000000,13.649282
330.000000,14.062910
332.000000,14.487320
334.000000,14.921127
336.000000,15.365224
338.000000,15.819857
340.000000,16.284367
342.000000,16.760602
344.000000,17.247060
346.000000,17.744762
348.000000,18.253905
350.000000,18.773768
352.000000,19.306347
354.000000,19.850010
356.000000,20.405856
358.000000,20.974091
360.000000,21.553927
362.000000,22.147523
364.000000,22.753100
366.000000,23.371846
368.000000,24.003974
370.000000,24.648630
372.000000,25.308131
374.000000,25.980556
376.000000,26.667178
378.000000,27.368220
380.000000,28.082756
382.000000,28.813072
384.000000,29.557265
386.000000,30.316722
388.000000,31.091677
390.000000,31.881129
392.000000,32.687743
394.000000,33.509284
396.000000,34.347210
398.000000,35.201759
400.000000,36.071854
402.000000,36.960345
404.000000,37.864828
406.000000,38.786858
408.000000,39.726685
410.000000,40.683147
412.000000,41.659177
414.000000,42.652028
416.000000,43.663592
418.000000,44.694163
420.000000,45.742493
422.000000,46.811819
424.000000,47.899388
426.000000,49.006952
428.000000,50.134784
430.000000,51.281545
432.000000,52.450680
434.000000,53.639247
436.000000,54.848995
438.000000,56.079757
440.000000,57.330585
442.000000,58.605198
444.000000,59.900456
446.000000,61.218333
448.000000,62.559119
450.000000,63.921284
452.000000,65.308705
454.000000,66.718040
456.000000,68.151217
458.000000,69.607879
460.000000,71.087105
462.000000,72.593082
464.000000,74.122265
466.000000,75.676855
468.000000,77.257159
470.000000,78.861448
472.000000,80.494051
474.000000,82.150501
476.000000,83.833064
478.000000,85.542794
480.000000,87.277856
482.000000,89.042811
484.000000,90.833678
486.000000,92.652902
488.000000,94.500567
490.000000,96.373663
492.000000,98.277922
494.000000,100.209486
496.000000,102.170924
498.000000,104.162566
500.000000,106.182362
502.000000,108.234744
504.000000,110.314295
506.000000,112.425082
508.000000,114.567632
510.000000,116.739777
512.000000,118.946816
514.000000,121.183762
516.000000,123.451345
518.000000,125.752067
520.000000,128.083857
522.000000,130.452264
524.000000,132.852379
526.000000,135.285704
528.000000,137.752037
530.000000,140.250860
532.000000,142.788057
534.000000,145.358470
536.000000,147.964229
538.000000,150.603740
540.000000,153.277062
542.000000,155.990540
544.000000,158.738770
546.000000,161.523385
548.000000,164.343307
550.000000,167.198660
552.000000,170.095978
554.000000,173.029369
556.000000,175.998968
558.000000,179.006744
560.000000,182.051716
562.000000,185.140485
564.000000,188.264649
566.000000,191.426406
568.000000,194.629841
570.000000,197.872056
572.000000,201.157553
574.000000,204.478031
576.000000,207.841357
578.000000,211.248091
580.000000,214.691845
582.000000,218.178621
584.000000,221.706396
586.000000,225.278928
588.000000,228.890317
590.000000,232.541278
592.000000,236.241536
594.000000,239.982626
596.000000,243.762477
598.000000,247.589121
600.000000,251.459277
602.000000,255.372384
604.000000,259.327477
606.000000,263.330722
608.000000,267.376518
610.000000,271.462085
612.000000,275.600599
614.000000,279.780080
616.000000,284.001958
618.000000,288.274010
620.000000,292.587937
622.000000,296.948215
624.000000,301.355730
626.000000,305.808429
628.000000,310.305344
630.000000,314.850197
632.000000,319.442475
634.000000,324.077499
636.000000,328.765642
638.000000,333.493404
640.000000,338.268496
642.000000,343.097253
644.000000,347.964914
646.000000,352.886038
648.000000,357.851118
650.000000,362.860167
652.000000,367.925155
654.000000,373.028720
656.000000,378.186352
658.000000,383.387445
660.000000,388.633822
662.000000,393.935198
664.000000,399.275780
666.000000,404.672009
668.000000,410.107493
670.000000,415.594201
672.000000,421.128428
674.000000,426.709069
676.000000,432.337637
678.000000,438.012517
680.000000,443.735090
682.000000,449.503670
684.000000,455.323631
686.000000,461.181513
688.000000,467.095018
690.000000,473.044899
692.000000,479.052687
694.000000,485.097273
696.000000,491.195434
698.000000,497.332531
700.000000,503.521204
702.000000,509.749123
704.000000,516.028960
706.000000,522.345366
708.000000,528.714832
710.000000,535.119457
712.000000,541.576933
714.000000,548.073433
716.000000,554.613262
718.000000,561.200003
720.000000,567.821709
722.000000,574.496262
724.000000,581.205051
726.000000,587.959176
728.000000,594.755293
730.000000,601.585546
732.000000,608.466260
734.000000,615.379138
736.000000,622.335580
738.000000,629.331580
740.000000,636.359798
742.000000,643.435816
744.000000,650.543181
746.000000,657.688840
748.000000,664.873912
750.000000,672.088626
752.000000,679.346336
754.000000,686.637141
756.000000,693.957992
758.000000,701.316816
760.000000,708.711944
762.000000,716.131098
764.000000,723.584427
766.000000,731.072819
768.000000,738.590132
770.000000,746.132899
772.000000,753.713893
774.000000,761.319358
776.000000,768.950915
778.000000,776.611406
780.000000,784.299107
782.000000,792.012540
784.000000,799.747795
786.000000,807.509732
788.000000,815.299501
790.000000,823.109616
792.000000,830.937531
794.000000,838.786038
796.000000,846.658311
798.000000,854.553229
800.000000,862.466206
802.000000,870.393514
804.000000,878.336522
806.000000,886.299218
808.000000,894.280573
810.000000,902.274417
812.000000,910.279063
814.000000,918.297963
816.000000,926.331629
818.000000,934.375949
820.000000,942.428069
822.000000,950.495702
824.000000,958.571562
826.000000,966.650732
828.000000,974.738759
830.000000,982.837362
832.000000,990.937617
834.000000,999.039888
836.000000,1007.151284
838.000000,1015.264306
840.000000,1023.375904
842.000000,1031.494858
844.000000,1039.610575
846.000000,1047.726443
848.000000,1055.843243
850.000000,1063.953681
852.000000,1072.066979
854.000000,1080.172802
856.000000,1088.273755
858.000000,1096.372988
860.000000,1104.461114
862.000000,1112.547998
864.000000,1120.623265
866.000000,1128.691737
868.000000,1136.751787
870.000000,1144.798440
872.000000,1152.840135
874.000000,1160.863005
876.000000,1168.882281
878.000000,1176.878785
880.000000,1184.871701
882.000000,1192.839891
884.000000,1200.801014
886.000000,1208.740750
888.000000,1216.669068
890.000000,1224.576082
892.000000,1232.467718
894.000000,1240.340341
896.000000,1248.191969
898.000000,1256.028457
900.000000,1263.837980
902.000000,1271.633258
904.000000,1279.400579
906.000000,1287.149151
908.000000,1294.876685
910.000000,1302.575474
