# SERX1 V2: rescaled to the measured 90-degree point of EO1: peak 5200.058 V -> 5128.3 V (x 0.986201), 2026-09-02
# same data as target_SERX1_V90.csv (2026-09-01, tools/make_v90_targets.py); this file is that rescale under the V2 name
# V90 at the monitor 5128.3 V = 9.168 V commanded (measured command->HV gain 0.5594); EO zero at -20.7 V, NOT applied -- the record still starts/ends at 0 V; rise/fall hysteresis 0.21 %
# source target_SERX1.csv, 5501 pts at 2.0000 us, header of the source follows
#   from forward.csv + 1000 us hold + reverse.csv, 1.25 us -> 2 us linear
#   split ramp target A (EO1): ramps first, then holds at the handoff level
#   total stroke 10400 V across both EOMs, handed off at 5200.058 V (sample 902, t = 1804 us); this channel peaks at 5200.058 V
#   5501 pts at 2 us = 11.0020 ms period; first/last sample 0.000000/0.000000 V
#   A + B reproduces the integrated stroke sample for sample
time_us,voltage_V
0.000000,0.000000
2.000000,0.000000
4.000000,0.000000
6.000000,0.000000
8.000000,0.000000
10.000000,0.000000
12.000000,0.000002
14.000000,0.000004
16.000000,0.000007
18.000000,0.000014
20.000000,0.000025
22.000000,0.000039
24.000000,0.000060
26.000000,0.000089
28.000000,0.000129
30.000000,0.000182
32.000000,0.000251
34.000000,0.000340
36.000000,0.000453
38.000000,0.000594
40.000000,0.000765
42.000000,0.000979
44.000000,0.001235
46.000000,0.001541
48.000000,0.001908
50.000000,0.002336
52.000000,0.002845
54.000000,0.003434
56.000000,0.004119
58.000000,0.004910
60.000000,0.005810
62.000000,0.006851
64.000000,0.008026
66.000000,0.009360
68.000000,0.010867
70.000000,0.012551
72.000000,0.014459
74.000000,0.016576
76.000000,0.018937
78.000000,0.021564
80.000000,0.024456
82.000000,0.027683
84.000000,0.031217
86.000000,0.035109
88.000000,0.039386
90.000000,0.044042
92.000000,0.049173
94.000000,0.054739
96.000000,0.060806
98.000000,0.067408
100.000000,0.074532
102.000000,0.082306
104.000000,0.090673
106.000000,0.099716
108.000000,0.109478
110.000000,0.119938
112.000000,0.131261
114.000000,0.143366
116.000000,0.156362
118.000000,0.170300
120.000000,0.185144
122.000000,0.201110
124.000000,0.218082
126.000000,0.236199
128.000000,0.255519
130.000000,0.275996
132.000000,0.297895
134.000000,0.321066
136.000000,0.345678
138.000000,0.371800
140.000000,0.399371
142.000000,0.428709
144.000000,0.459632
146.000000,0.492337
148.000000,0.526904
150.000000,0.563256
152.000000,0.601777
154.000000,0.642236
156.000000,0.684871
158.000000,0.729771
160.000000,0.776838
162.000000,0.826530
164.000000,0.878561
166.000000,0.933215
168.000000,0.990589
170.000000,1.050562
172.000000,1.113676
174.000000,1.179582
176.000000,1.248611
178.000000,1.320874
180.000000,1.396217
182.000000,1.475280
184.000000,1.557641
186.000000,1.643683
188.000000,1.733532
190.000000,1.827000
192.000000,1.924828
194.000000,2.026516
196.000000,2.132506
198.000000,2.242938
200.000000,2.357582
202.000000,2.477296
204.000000,2.601494
206.000000,2.730673
208.000000,2.864992
210.000000,3.004182
212.000000,3.149219
214.000000,3.299417
216.000000,3.455349
218.000000,3.617184
220.000000,3.784607
222.000000,3.958731
224.000000,4.138761
226.000000,4.325346
228.000000,4.518667
230.000000,4.718357
232.000000,4.925677
234.000000,5.139712
236.000000,5.361191
238.000000,5.590312
240.000000,5.826650
242.000000,6.071626
244.000000,6.324191
246.000000,6.585162
248.000000,6.854756
250.000000,7.132482
252.000000,7.419931
254.000000,7.715915
256.000000,8.021346
258.000000,8.336453
260.000000,8.660679
262.000000,8.995796
264.000000,9.340464
266.000000,9.695694
268.000000,10.061732
270.000000,10.437950
272.000000,10.826308
274.000000,11.225309
276.000000,11.636066
278.000000,12.058841
280.000000,12.492927
282.000000,12.940497
284.000000,13.399869
286.000000,13.872273
288.000000,14.357988
290.000000,14.856222
292.000000,15.369363
294.000000,15.895547
296.000000,16.436122
298.000000,16.991381
300.000000,17.560443
302.000000,18.145929
304.000000,18.745774
306.000000,19.361450
308.000000,19.993270
310.000000,20.640253
312.000000,21.305267
314.000000,21.986035
316.000000,22.684158
318.000000,23.399971
320.000000,24.132387
322.000000,24.884534
324.000000,25.653906
326.000000,26.442246
328.000000,27.249906
330.000000,28.075688
332.000000,28.922995
334.000000,29.789062
336.000000,30.675674
338.000000,31.583317
340.000000,32.510682
342.000000,33.461454
344.000000,34.432636
346.000000,35.426268
348.000000,36.442738
350.000000,37.480608
352.000000,38.543870
354.000000,39.629256
356.000000,40.738967
358.000000,41.873410
360.000000,43.031018
362.000000,44.216092
364.000000,45.425089
366.000000,46.660375
368.000000,47.922377
370.000000,49.209390
372.000000,50.526041
374.000000,51.868494
376.000000,53.239291
378.000000,54.638876
380.000000,56.065400
382.000000,57.523429
384.000000,59.009161
386.000000,60.525370
388.000000,62.072516
390.000000,63.648606
392.000000,65.258957
394.000000,66.899112
396.000000,68.571975
398.000000,70.278029
400.000000,72.015115
402.000000,73.788930
404.000000,75.594674
406.000000,77.435445
408.000000,79.311749
410.000000,81.221263
412.000000,83.169843
414.000000,85.152006
416.000000,87.171528
418.000000,89.228997
420.000000,91.321918
422.000000,93.456760
424.000000,95.628020
426.000000,97.839201
428.000000,100.090843
430.000000,102.380278
432.000000,104.714380
434.000000,107.087275
436.000000,109.502460
438.000000,111.959596
440.000000,114.456793
442.000000,117.001474
444.000000,119.587374
446.000000,122.218430
448.000000,124.895220
450.000000,127.614696
452.000000,130.384591
454.000000,133.198238
456.000000,136.059483
458.000000,138.967615
460.000000,141.920793
462.000000,144.927380
464.000000,147.980293
466.000000,151.083931
468.000000,154.238906
470.000000,157.441765
472.000000,160.701151
474.000000,164.008144
476.000000,167.367275
478.000000,170.780639
480.000000,174.244577
482.000000,177.768194
484.000000,181.343544
486.000000,184.975507
488.000000,188.664252
490.000000,192.403766
492.000000,196.205494
494.000000,200.061736
496.000000,203.977620
498.000000,207.953805
500.000000,211.986195
502.000000,216.083644
504.000000,220.235333
506.000000,224.449382
508.000000,228.726844
510.000000,233.063392
512.000000,237.469601
514.000000,241.935520
516.000000,246.462599
518.000000,251.055844
520.000000,255.711110
522.000000,260.439481
524.000000,265.231154
526.000000,270.089130
528.000000,275.013005
530.000000,280.001742
532.000000,285.067090
534.000000,290.198754
536.000000,295.400984
538.000000,300.670594
540.000000,306.007708
542.000000,311.424991
544.000000,316.911655
546.000000,322.470957
548.000000,328.100749
550.000000,333.801276
552.000000,339.585583
554.000000,345.441908
556.000000,351.370521
558.000000,357.375349
560.000000,363.454438
562.000000,369.620966
564.000000,375.858157
566.000000,382.170401
568.000000,388.565848
570.000000,395.038720
572.000000,401.598003
574.000000,408.227121
576.000000,414.941786
578.000000,421.743107
580.000000,428.618339
582.000000,435.579461
584.000000,442.622434
586.000000,449.754764
588.000000,456.964666
590.000000,464.253574
592.000000,471.640898
594.000000,479.109742
596.000000,486.655971
598.000000,494.295615
600.000000,502.022133
602.000000,509.834394
604.000000,517.730484
606.000000,525.722701
608.000000,533.799871
610.000000,541.956440
612.000000,550.218713
614.000000,558.562777
616.000000,566.991484
618.000000,575.520357
620.000000,584.132831
622.000000,592.837845
624.000000,601.637163
626.000000,610.526687
628.000000,619.504487
630.000000,628.577992
632.000000,637.746176
634.000000,646.999702
636.000000,656.359272
638.000000,665.797945
640.000000,675.331106
642.000000,684.971404
644.000000,694.689373
646.000000,704.514079
648.000000,714.426540
650.000000,724.426780
652.000000,734.538700
654.000000,744.727637
656.000000,755.024514
658.000000,765.408157
660.000000,775.882211
662.000000,786.466063
664.000000,797.128188
666.000000,807.901411
668.000000,818.753001
670.000000,829.706860
672.000000,840.755582
674.000000,851.896970
676.000000,863.134043
678.000000,874.463572
680.000000,885.888318
682.000000,897.404913
684.000000,909.024088
686.000000,920.718969
688.000000,932.524897
690.000000,944.403450
692.000000,956.397608
694.000000,968.465232
696.000000,980.639814
698.000000,992.892132
700.000000,1005.247414
702.000000,1017.681052
704.000000,1030.218336
706.000000,1042.828634
708.000000,1055.544859
710.000000,1068.331278
712.000000,1081.223207
714.000000,1094.193049
716.000000,1107.249393
718.000000,1120.399393
720.000000,1133.619202
722.000000,1146.944512
724.000000,1160.338175
726.000000,1173.822347
728.000000,1187.390354
730.000000,1201.026511
732.000000,1214.763410
734.000000,1228.564521
736.000000,1242.452607
738.000000,1256.419666
740.000000,1270.451049
742.000000,1284.577859
744.000000,1298.767253
746.000000,1313.033095
748.000000,1327.377628
750.000000,1341.781334
752.000000,1356.270882
754.000000,1370.826502
756.000000,1385.442107
758.000000,1400.133520
760.000000,1414.897413
762.000000,1429.709272
764.000000,1444.589361
766.000000,1459.539450
768.000000,1474.547277
770.000000,1489.605924
772.000000,1504.740883
774.000000,1519.924701
776.000000,1535.160612
778.000000,1550.454284
780.000000,1565.802282
782.000000,1581.201649
784.000000,1596.644583
786.000000,1612.140787
788.000000,1627.692554
790.000000,1643.284943
792.000000,1658.912867
794.000000,1674.581901
796.000000,1690.298386
798.000000,1706.060078
800.000000,1721.857821
802.000000,1737.684177
804.000000,1753.541877
806.000000,1769.438885
808.000000,1785.373143
810.000000,1801.332332
812.000000,1817.313090
814.000000,1833.322302
816.000000,1849.360996
818.000000,1865.420959
820.000000,1881.496492
822.000000,1897.603000
824.000000,1913.725929
826.000000,1929.855469
828.000000,1946.002690
830.000000,1962.171025
832.000000,1978.342660
834.000000,1994.518317
836.000000,2010.712191
838.000000,2026.909316
840.000000,2043.103595
842.000000,2059.312559
844.000000,2075.515061
846.000000,2091.717864
848.000000,2107.922530
850.000000,2124.114493
852.000000,2140.312167
854.000000,2156.494915
856.000000,2172.667942
858.000000,2188.837537
860.000000,2204.984956
862.000000,2221.129894
864.000000,2237.251640
866.000000,2253.359821
868.000000,2269.451187
870.000000,2285.515809
872.000000,2301.570530
874.000000,2317.587669
876.000000,2333.597633
878.000000,2349.562135
880.000000,2365.519475
882.000000,2381.427448
884.000000,2397.321314
886.000000,2413.172484
888.000000,2429.000855
890.000000,2444.786697
892.000000,2460.541834
