# target for EO1 from MKJ_full.csv, 20:1 boxcar -> 5301 pts at 2.0000 us
# peak 5200 V at the EOM; chain gain 0.5584 (AWG->monitor) implies a 9.312 V drive
# AWG full scale +/-10 V (AMP 20 Vpp, OFST 0) leaves 6.9% headroom to iterate
time_us,voltage_V
0.000000,0.000000
2.000000,0.054421
4.000000,0.108751
6.000000,0.163718
8.000000,0.219204
10.000000,0.275067
12.000000,0.332113
14.000000,0.389795
16.000000,0.448633
18.000000,0.508871
20.000000,0.570362
22.000000,0.633428
24.000000,0.698175
26.000000,0.764758
28.000000,0.833317
30.000000,0.903999
32.000000,0.976957
34.000000,1.052330
36.000000,1.130269
38.000000,1.210923
40.000000,1.294438
42.000000,1.380956
44.000000,1.470631
46.000000,1.563608
48.000000,1.660030
50.000000,1.760048
52.000000,1.863809
54.000000,1.971460
56.000000,2.083150
58.000000,2.199026
60.000000,2.319232
62.000000,2.443919
64.000000,2.573235
66.000000,2.707327
68.000000,2.846342
70.000000,2.990428
72.000000,3.139731
74.000000,3.294403
76.000000,3.454588
78.000000,3.620438
80.000000,3.792099
82.000000,3.969718
84.000000,4.153443
86.000000,4.343424
88.000000,4.539809
90.000000,4.742748
92.000000,4.952385
94.000000,5.168876
96.000000,5.392363
98.000000,5.622997
100.000000,5.860926
102.000000,6.106301
104.000000,6.359270
106.000000,6.619982
108.000000,6.888585
110.000000,7.165233
112.000000,7.450070
114.000000,7.743247
116.000000,8.044914
118.000000,8.355221
120.000000,8.674319
122.000000,9.002356
124.000000,9.339483
126.000000,9.685849
128.000000,10.041607
130.000000,10.406902
132.000000,10.781890
134.000000,11.166719
136.000000,11.561540
138.000000,11.966503
140.000000,12.381759
142.000000,12.807463
144.000000,13.243760
146.000000,13.690803
148.000000,14.148745
150.000000,14.617740
152.000000,15.097916
154.000000,15.589391
156.000000,16.092364
158.000000,16.606991
160.000000,17.133428
162.000000,17.671822
164.000000,18.222329
166.000000,18.785102
168.000000,19.360290
170.000000,19.948049
172.000000,20.548531
174.000000,21.161890
176.000000,21.788276
178.000000,22.427846
180.000000,23.080751
182.000000,23.747146
184.000000,24.427183
186.000000,25.121019
188.000000,25.828806
190.000000,26.550697
192.000000,27.286851
194.000000,28.037415
196.000000,28.802450
198.000000,29.582067
200.000000,30.376555
202.000000,31.186072
204.000000,32.010774
206.000000,32.850817
208.000000,33.706354
210.000000,34.577542
212.000000,35.464537
214.000000,36.367497
216.000000,37.286574
218.000000,38.221924
220.000000,39.173708
222.000000,40.142083
224.000000,41.127202
226.000000,42.129112
228.000000,43.147798
230.000000,44.183658
232.000000,45.236884
234.000000,46.307636
236.000000,47.396068
238.000000,48.502342
240.000000,49.626619
242.000000,50.769048
244.000000,51.929795
246.000000,53.109006
248.000000,54.306863
250.000000,55.523368
252.000000,56.758306
254.000000,58.012272
256.000000,59.285462
258.000000,60.578123
260.000000,61.890336
262.000000,63.222307
264.000000,64.574129
266.000000,65.946034
268.000000,67.338164
270.000000,68.750580
272.000000,70.182760
274.000000,71.635463
276.000000,73.108986
278.000000,74.603552
280.000000,76.119260
282.000000,77.656300
284.000000,79.214846
286.000000,80.795040
288.000000,82.396799
290.000000,84.019574
292.000000,85.664287
294.000000,87.331254
296.000000,89.020698
298.000000,90.732747
300.000000,92.467600
302.000000,94.225383
304.000000,96.005804
306.000000,97.808274
308.000000,99.634008
310.000000,101.483296
312.000000,103.356316
314.000000,105.253262
316.000000,107.174248
318.000000,109.119188
320.000000,111.086851
322.000000,113.078729
324.000000,115.095320
326.000000,117.136743
328.000000,119.203213
330.000000,121.294858
332.000000,123.410717
334.000000,125.550544
336.000000,127.715962
338.000000,129.907203
340.000000,132.124434
342.000000,134.367835
344.000000,136.636398
346.000000,138.929461
348.000000,141.248997
350.000000,143.595311
352.000000,145.968611
354.000000,148.368854
356.000000,150.794334
358.000000,153.245626
360.000000,155.724496
362.000000,158.231114
364.000000,160.765658
366.000000,163.326877
368.000000,165.913554
370.000000,168.528376
372.000000,171.171750
374.000000,173.843812
376.000000,176.543366
378.000000,179.268692
380.000000,182.022836
382.000000,184.806290
384.000000,187.619265
386.000000,190.459495
388.000000,193.326316
390.000000,196.223087
392.000000,199.149932
394.000000,202.106586
396.000000,205.089315
398.000000,208.101165
400.000000,211.143788
402.000000,214.217225
404.000000,217.318385
406.000000,220.447186
408.000000,223.607311
410.000000,226.798944
412.000000,230.019505
414.000000,233.267233
416.000000,236.546632
418.000000,239.858174
420.000000,243.199024
422.000000,246.567151
424.000000,249.967479
426.000000,253.400541
428.000000,256.862404
430.000000,260.352172
432.000000,263.875114
434.000000,267.430814
436.000000,271.013879
438.000000,274.627247
440.000000,278.274347
442.000000,281.952954
444.000000,285.658350
446.000000,289.396783
448.000000,293.169129
450.000000,296.969461
452.000000,300.799787
454.000000,304.664818
456.000000,308.560833
458.000000,312.484133
460.000000,316.441865
462.000000,320.433233
464.000000,324.450435
466.000000,328.501268
468.000000,332.586868
470.000000,336.699012
472.000000,340.843305
474.000000,345.023005
476.000000,349.229954
478.000000,353.468071
480.000000,357.741923
482.000000,362.043160
484.000000,366.375333
486.000000,370.743456
488.000000,375.138159
490.000000,379.564678
