# PARX1 rescaled to the measured 90-degree point of EO1: peak 5200.000 V -> 5128.3 V (x 0.986212), 2026-09-01, tools/make_v90_targets.py
# V90 at the monitor 5128.3 V = 9.168 V commanded (measured command->HV gain 0.5594); EO zero at -20.7 V, NOT applied -- the record still starts/ends at 0 V; rise/fall hysteresis 0.21 %
# source target_PARX1.csv, 5501 pts at 2.0000 us, header of the source follows
#   target for EO1 from forward.csv + 1000 us hold + reverse.csv, 1.25 us -> 2 us linear
#   integrated ramp target (EOs in parallel): peak 5200 V at the EOM, 5501 pts at 2 us = 11.0020 ms period
#   first/last sample 0.000000/0.000000 V; peak slew 4.109 V/us at the EOM
#   identical samples on both channels; the per-channel drive is what differs
time_us,voltage_V
0.000000,0.000000
2.000000,0.000000
4.000000,0.000000
6.000000,0.000000
8.000000,0.000000
10.000000,0.000000
12.000000,0.000001
14.000000,0.000002
16.000000,0.000004
18.000000,0.000007
20.000000,0.000013
22.000000,0.000020
24.000000,0.000030
26.000000,0.000044
28.000000,0.000064
30.000000,0.000091
32.000000,0.000126
34.000000,0.000170
36.000000,0.000226
38.000000,0.000297
40.000000,0.000383
42.000000,0.000490
44.000000,0.000617
46.000000,0.000771
48.000000,0.000955
50.000000,0.001168
52.000000,0.001422
54.000000,0.001717
56.000000,0.002059
58.000000,0.002455
60.000000,0.002905
62.000000,0.003425
64.000000,0.004013
66.000000,0.004680
68.000000,0.005434
70.000000,0.006275
72.000000,0.007230
74.000000,0.008288
76.000000,0.009469
78.000000,0.010782
80.000000,0.012228
82.000000,0.013841
84.000000,0.015609
86.000000,0.017555
88.000000,0.019694
90.000000,0.022021
92.000000,0.024587
94.000000,0.027369
96.000000,0.030403
98.000000,0.033705
100.000000,0.037267
102.000000,0.041154
104.000000,0.045337
106.000000,0.049858
108.000000,0.054740
110.000000,0.059970
112.000000,0.065631
114.000000,0.071684
116.000000,0.078182
118.000000,0.085150
120.000000,0.092574
122.000000,0.100556
124.000000,0.109042
126.000000,0.118101
128.000000,0.127761
130.000000,0.138000
132.000000,0.148949
134.000000,0.160535
136.000000,0.172841
138.000000,0.185902
140.000000,0.199687
142.000000,0.214357
144.000000,0.229819
146.000000,0.246171
148.000000,0.263456
150.000000,0.281631
152.000000,0.300892
154.000000,0.321121
156.000000,0.342439
158.000000,0.364889
160.000000,0.388423
162.000000,0.413270
164.000000,0.439285
166.000000,0.466612
168.000000,0.495300
170.000000,0.525287
172.000000,0.556844
174.000000,0.589798
176.000000,0.624312
178.000000,0.660444
180.000000,0.698116
182.000000,0.737648
184.000000,0.778829
186.000000,0.821851
188.000000,0.866775
190.000000,0.913510
192.000000,0.962425
194.000000,1.013269
196.000000,1.066265
198.000000,1.121481
200.000000,1.178804
202.000000,1.238662
204.000000,1.300761
206.000000,1.365352
208.000000,1.432512
210.000000,1.502108
212.000000,1.574628
214.000000,1.649727
216.000000,1.727694
218.000000,1.808612
220.000000,1.892325
222.000000,1.979388
224.000000,2.069404
226.000000,2.162697
228.000000,2.259358
230.000000,2.359205
232.000000,2.462866
234.000000,2.569885
236.000000,2.680626
238.000000,2.795188
240.000000,2.913358
242.000000,3.035846
244.000000,3.162130
246.000000,3.292618
248.000000,3.427415
250.000000,3.566281
252.000000,3.710007
254.000000,3.858000
256.000000,4.010717
258.000000,4.168273
260.000000,4.330388
262.000000,4.497948
264.000000,4.670284
266.000000,4.847901
268.000000,5.030922
270.000000,5.219032
272.000000,5.413215
274.000000,5.612717
276.000000,5.818098
278.000000,6.029488
280.000000,6.246534
282.000000,6.470320
284.000000,6.700010
286.000000,6.936213
288.000000,7.179074
290.000000,7.428194
292.000000,7.684766
294.000000,7.947862
296.000000,8.218152
298.000000,8.495785
300.000000,8.780319
302.000000,9.073065
304.000000,9.372991
306.000000,9.680833
308.000000,9.996746
310.000000,10.320241
312.000000,10.652752
314.000000,10.993140
316.000000,11.342206
318.000000,11.700116
320.000000,12.066328
322.000000,12.442406
324.000000,12.827095
326.000000,13.221270
328.000000,13.625105
330.000000,14.038000
332.000000,14.461658
334.000000,14.894697
336.000000,15.338008
338.000000,15.791835
340.000000,16.255522
342.000000,16.730913
344.000000,17.216510
346.000000,17.713331
348.000000,18.221572
350.000000,18.740513
352.000000,19.272149
354.000000,19.814849
356.000000,20.369710
358.000000,20.936939
360.000000,21.515748
362.000000,22.108293
364.000000,22.712797
366.000000,23.330447
368.000000,23.961455
370.000000,24.604969
372.000000,25.263302
374.000000,25.934536
376.000000,26.619942
378.000000,27.319742
380.000000,28.033013
382.000000,28.762035
384.000000,29.504910
386.000000,30.263021
388.000000,31.036604
390.000000,31.824657
392.000000,32.629842
394.000000,33.449928
396.000000,34.286370
398.000000,35.139405
400.000000,36.007959
402.000000,36.894876
404.000000,37.797757
406.000000,38.718154
408.000000,39.656316
410.000000,40.611084
412.000000,41.585385
414.000000,42.576477
416.000000,43.586250
418.000000,44.614995
420.000000,45.661468
422.000000,46.728900
424.000000,47.814542
426.000000,48.920145
428.000000,50.045979
430.000000,51.190708
432.000000,52.357773
434.000000,53.544234
436.000000,54.751839
438.000000,55.980421
440.000000,57.229034
442.000000,58.501389
444.000000,59.794353
446.000000,61.109896
448.000000,62.448306
450.000000,63.808059
452.000000,65.193022
454.000000,66.599860
456.000000,68.030499
458.000000,69.484581
460.000000,70.961187
462.000000,72.464496
464.000000,73.990970
466.000000,75.542807
468.000000,77.120311
470.000000,78.721759
472.000000,80.351470
474.000000,82.004986
476.000000,83.684569
478.000000,85.391270
480.000000,87.123259
482.000000,88.885087
484.000000,90.672782
486.000000,92.488784
488.000000,94.333176
490.000000,96.202954
492.000000,98.103840
494.000000,100.031983
496.000000,101.989946
498.000000,103.978061
500.000000,105.994278
502.000000,108.043025
504.000000,110.118892
506.000000,112.225941
508.000000,114.364696
510.000000,116.532993
512.000000,118.736123
514.000000,120.969107
516.000000,123.232672
518.000000,125.529319
520.000000,127.856979
522.000000,130.221191
524.000000,132.617054
526.000000,135.046069
528.000000,137.508034
530.000000,140.002430
532.000000,142.535133
534.000000,145.100993
536.000000,147.702137
538.000000,150.336972
540.000000,153.005558
542.000000,155.714230
544.000000,158.457592
546.000000,161.237275
548.000000,164.052202
550.000000,166.902497
552.000000,169.794683
554.000000,172.722878
556.000000,175.687217
558.000000,178.689665
560.000000,181.729244
562.000000,184.812541
564.000000,187.931171
566.000000,191.087328
568.000000,194.285088
570.000000,197.521560
572.000000,200.801237
574.000000,204.115834
576.000000,207.473203
578.000000,210.873902
580.000000,214.311556
582.000000,217.792156
584.000000,221.313682
586.000000,224.879886
588.000000,228.484878
590.000000,232.129372
592.000000,235.823076
594.000000,239.557539
596.000000,243.330695
598.000000,247.150560
600.000000,251.013862
602.000000,254.920036
604.000000,258.868124
606.000000,262.864278
608.000000,266.902908
610.000000,270.981238
612.000000,275.112421
614.000000,279.284499
616.000000,283.498898
618.000000,287.763384
620.000000,292.069668
622.000000,296.422223
624.000000,300.821931
626.000000,305.266743
628.000000,309.755693
630.000000,314.292496
632.000000,318.876639
634.000000,323.503453
636.000000,328.183291
638.000000,332.902679
640.000000,337.669313
642.000000,342.489516
644.000000,347.348555
646.000000,352.260962
648.000000,357.217247
650.000000,362.217424
652.000000,367.273440
654.000000,372.367966
656.000000,377.516461
658.000000,382.708341
660.000000,387.945425
662.000000,393.237411
664.000000,398.568533
666.000000,403.955204
668.000000,409.381060
670.000000,414.858049
672.000000,420.382473
674.000000,425.953229
676.000000,431.571827
678.000000,437.236655
680.000000,442.949092
682.000000,448.707454
684.000000,454.517106
686.000000,460.364611
688.000000,466.267642
690.000000,472.206983
692.000000,478.204130
694.000000,484.238009
696.000000,490.325368
698.000000,496.451594
700.000000,502.629304
702.000000,508.846193
704.000000,515.114905
706.000000,521.420123
708.000000,527.778307
710.000000,534.171587
712.000000,540.617625
714.000000,547.102617
716.000000,553.630862
718.000000,560.205936
720.000000,566.815913
722.000000,573.478643
724.000000,580.175549
726.000000,586.917710
728.000000,593.701789
730.000000,600.519943
732.000000,607.388469
734.000000,614.289102
736.000000,621.233222
738.000000,628.216830
740.000000,635.232599
742.000000,642.296082
744.000000,649.390859
746.000000,656.523859
748.000000,663.696205
750.000000,670.898139
752.000000,678.142993
754.000000,685.420884
756.000000,692.728768
758.000000,700.074557
760.000000,707.456586
762.000000,714.862597
764.000000,722.302724
766.000000,729.777852
768.000000,737.281850
770.000000,744.811256
772.000000,752.378821
774.000000,759.970815
776.000000,767.588854
778.000000,775.235776
780.000000,782.909859
782.000000,790.609629
784.000000,798.331182
786.000000,806.079371
788.000000,813.855341
790.000000,821.651622
792.000000,829.465671
794.000000,837.300276
796.000000,845.158605
798.000000,853.039538
800.000000,860.938499
802.000000,868.851765
804.000000,876.780703
806.000000,884.729295
808.000000,892.696513
810.000000,900.676197
812.000000,908.666664
814.000000,916.671359
816.000000,924.690796
818.000000,932.720866
820.000000,940.758723
822.000000,948.812067
824.000000,956.873621
826.000000,964.938480
828.000000,973.012181
830.000000,981.096439
832.000000,989.182346
834.000000,997.270265
836.000000,1005.367292
838.000000,1013.465944
840.000000,1021.563174
842.000000,1029.667747
844.000000,1037.769088
846.000000,1045.870580
848.000000,1053.973002
850.000000,1062.069074
852.000000,1070.168001
854.000000,1078.259466
856.000000,1086.346069
858.000000,1094.430957
860.000000,1102.504756
862.000000,1110.577315
864.000000,1118.638278
866.000000,1126.692458
868.000000,1134.738231
870.000000,1142.770631
872.000000,1150.798081
874.000000,1158.806740
876.000000,1166.811811
878.000000,1174.794151
880.000000,1182.772909
882.000000,1190.726985
884.000000,1198.674006
886.000000,1206.599679
888.000000,1214.513953
890.000000,1222.406961
892.000000,1230.284619
894.000000,1238.143297
896.000000,1245.981017
898.000000,1253.803624
900.000000,1261.599314
902.000000,1269.380784
904.000000,1277.134346
906.000000,1284.869193
908.000000,1292.583039
910.000000,1300.268191
912.000000,1307.935088
914.000000,1315.573693
916.000000,1323.187076
918.000000,1330.779392
